unit;sector;cofog99;geo;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 
PC_GDP;S13;GF0306;ES;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 p
PC_GDP;S13;GF0306;EU27_2020;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;FI;0.1 b;0.1 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;FR;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.1 p;0.1 p
PC_GDP;S13;GF0306;HR;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;HU;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;IE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.0 
PC_GDP;S13;GF0306;IS;0.3 ;0.2 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0306;IT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;LT;0.4 ;0.2 ;0.3 ;0.3 ;0.3 ;0.3 ;0.2 
PC_GDP;S13;GF0306;LU;0.1 ;0.1 ;0.1 ;0.1 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;LV;0.1 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.3 
PC_GDP;S13;GF0306;MT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;NL;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0306;NO;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;PL;0.1 ;0.1 ;0.0 ;0.1 ;0.1 ;0.2 ;0.1 
PC_GDP;S13;GF0306;PT;0.2 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 p
PC_GDP;S13;GF0306;RO;0.3 ;0.3 ;0.2 ;0.2 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0306;SE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;SI;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;SK;0.8 ;0.7 ;0.6 ;0.5 ;0.5 ;0.5 ;0.5 
