DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2016,51,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2017,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2018,49,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2019,47,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2020,45,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2021,40,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DK,2022,42,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2016,56,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2017,42,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2018,54,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2019,49,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2020,48,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2021,58,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EE,2022,49,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2016,41,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2017,44,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2018,48,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2019,48,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2020,47,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2021,47,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EL,2022,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2016,27,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2017,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2019,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2020,36,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2021,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,ES,2022,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,EU27_2020,2016,42,e
