DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2018,58.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2019,65.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2020,65.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2021,64.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2001,35.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2002,38.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2003,39.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2004,42.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2005,44.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2006,47.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2007,52.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2008,69.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2009,76.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2010,60.7,b
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2011,59.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2012,52.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2013,57.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2014,67.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2015,50.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2016,54.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2017,55.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2018,62.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2019,62.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2020,63.0,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EL,2021,60.7,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2000,43.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2001,48.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2002,54.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2003,61.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2004,61.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2005,65.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,ES,2006,67.7,
