DATAFLOW,LAST UPDATE,freq,indic_cr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IE,2014,90.00,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IE,2015,101.43,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IS,2012,44.12,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IS,2013,50.95,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IS,2014,47.59,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IS,2015,44.97,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IS,2016,42.10,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2011,78.25,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2012,80.59,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2013,81.36,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2014,83.04,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2015,82.95,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2016,83.75,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2017,84.30,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2018,84.55,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2019,85.68,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,IT,2020,85.72,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2011,55.33,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2012,54.83,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2013,54.29,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2014,53.87,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2015,53.52,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2016,53.16,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2017,52.90,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2018,52.47,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2019,52.11,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LI,2020,51.62,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2011,307.90,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2012,312.92,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2013,316.26,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2014,319.32,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2015,321.74,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2016,277.34,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,LT,2017,281.29,
